,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
324,25,0.4333333373069763,10 Recombinations,0.7333333492279053
325,26,0.4000000059604645,10 Recombinations,0.699999988079071
326,27,0.46666666865348816,10 Recombinations,0.8333333134651184
327,28,0.30000001192092896,10 Recombinations,0.6499999761581421
328,29,0.30000001192092896,10 Recombinations,0.5666666626930237
329,30,0.5333333611488342,10 Recombinations,0.8833333253860474
330,1,0.20000000298023224,10 Recombinations,0.5
331,2,0.20000000298023224,10 Recombinations,0.4166666567325592
332,3,0.23333333432674408,10 Recombinations,0.5
333,4,0.20000000298023224,10 Recombinations,0.5
334,5,0.3333333432674408,10 Recombinations,0.699999988079071
335,6,0.36666667461395264,10 Recombinations,0.6666666865348816
336,7,0.4000000059604645,10 Recombinations,0.8166666626930237
337,8,0.4333333373069763,10 Recombinations,0.800000011920929
338,9,0.30000001192092896,10 Recombinations,0.6666666865348816
339,10,0.4333333373069763,10 Recombinations,0.8333333134651184
340,11,0.30000001192092896,10 Recombinations,0.6000000238418579
341,12,0.2666666805744171,10 Recombinations,0.6166666746139526
342,13,0.4333333373069763,10 Recombinations,0.8666666746139526
343,14,0.36666667461395264,10 Recombinations,0.6000000238418579
344,15,0.30000001192092896,10 Recombinations,0.6000000238418579
345,16,0.4000000059604645,10 Recombinations,0.7333333492279053
346,17,0.46666666865348816,10 Recombinations,0.8666666746139526
347,18,0.5,10 Recombinations,0.8999999761581421
348,19,0.46666666865348816,10 Recombinations,0.8666666746139526
349,20,0.30000001192092896,10 Recombinations,0.6000000238418579
350,21,0.36666667461395264,10 Recombinations,0.8333333134651184
351,22,0.30000001192092896,10 Recombinations,0.699999988079071
352,23,0.46666666865348816,10 Recombinations,0.8333333134651184
353,24,0.36666667461395264,10 Recombinations,0.7666666507720947
354,25,0.46666666865348816,10 Recombinations,0.800000011920929
355,26,0.46666666865348816,10 Recombinations,0.8666666746139526
356,27,0.4333333373069763,10 Recombinations,0.8999999761581421
357,28,0.36666667461395264,10 Recombinations,0.8333333134651184
358,29,0.4333333373069763,10 Recombinations,0.8666666746139526
359,30,0.30000001192092896,10 Recombinations,0.7333333492279053
360,1,0.1666666716337204,10 Recombinations,0.4833333194255829
361,2,0.5,10 Recombinations,0.8500000238418579
362,3,0.4000000059604645,10 Recombinations,0.6833333373069763
363,4,0.4333333373069763,10 Recombinations,0.75
364,5,0.5,10 Recombinations,0.9166666865348816
365,6,0.5,10 Recombinations,0.8666666746139526
366,7,0.46666666865348816,10 Recombinations,0.8500000238418579
367,8,0.6333333253860474,10 Recombinations,0.8500000238418579
368,9,0.5,10 Recombinations,0.8833333253860474
369,10,0.36666667461395264,10 Recombinations,0.75
370,11,0.4000000059604645,10 Recombinations,0.7166666388511658
371,12,0.6000000238418579,10 Recombinations,0.9666666388511658
372,13,0.5,10 Recombinations,0.9333333373069763
373,14,0.5,10 Recombinations,0.8833333253860474
374,15,0.3333333432674408,10 Recombinations,0.6499999761581421
375,16,0.4333333373069763,10 Recombinations,0.7833333611488342
376,17,0.4333333373069763,10 Recombinations,0.699999988079071
377,18,0.36666667461395264,10 Recombinations,0.6833333373069763
378,19,0.46666666865348816,10 Recombinations,0.7833333611488342
379,20,0.4333333373069763,10 Recombinations,0.7666666507720947
380,21,0.5,10 Recombinations,0.8166666626930237
381,22,0.46666666865348816,10 Recombinations,0.7833333611488342
382,23,0.4000000059604645,10 Recombinations,0.7833333611488342
383,24,0.36666667461395264,10 Recombinations,0.800000011920929
384,25,0.4000000059604645,10 Recombinations,0.8500000238418579
385,26,0.4333333373069763,10 Recombinations,0.9166666865348816
386,27,0.46666666865348816,10 Recombinations,0.8833333253860474
387,28,0.46666666865348816,10 Recombinations,0.9166666865348816
388,29,0.5333333611488342,10 Recombinations,0.8833333253860474
389,30,0.5,10 Recombinations,0.8833333253860474
390,1,0.20000000298023224,10 Recombinations,0.5333333611488342
391,2,0.23333333432674408,10 Recombinations,0.5333333611488342
392,3,0.1666666716337204,10 Recombinations,0.46666666865348816
393,4,0.2666666805744171,10 Recombinations,0.6000000238418579
394,5,0.23333333432674408,10 Recombinations,0.6333333253860474
395,6,0.23333333432674408,10 Recombinations,0.6666666865348816
396,7,0.2666666805744171,10 Recombinations,0.6666666865348816
397,8,0.1666666716337204,10 Recombinations,0.38333332538604736
398,9,0.23333333432674408,10 Recombinations,0.6499999761581421
399,10,0.20000000298023224,10 Recombinations,0.5666666626930237
400,11,0.23333333432674408,10 Recombinations,0.6666666865348816
401,12,0.20000000298023224,10 Recombinations,0.38333332538604736
402,13,0.20000000298023224,10 Recombinations,0.36666667461395264
403,14,0.2666666805744171,10 Recombinations,0.7333333492279053
404,15,0.23333333432674408,10 Recombinations,0.44999998807907104
405,16,0.1666666716337204,10 Recombinations,0.3499999940395355
